season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,key__minutes_played_official,key__matches_appearance,key__goals,key__assists,key__distance_covered,key__top_speed
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,5007,Michel Pavon,57.0,1968-11-07,FRA,,MALE,,,,Pavon,,810.0,9.0,1.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,23474,Jérôme Bonnissel,52.0,1973-04-11,FRA,,MALE,DEFENDER,,,Bonnissel,,810.0,9.0,,,,
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,14675,Gary Neville,50.0,1975-02-18,,,MALE,DEFENDER,UNKNOWN,,G. Neville,2,810.0,9.0,,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,36,Lothar Matthäus,64.0,1961-03-21,GER,GER,MALE,MIDFIELDER,UNKNOWN,,Matthäus,,800.0,9.0,,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,239,Hendrik Herzog,56.0,1969-04-02,GER,,MALE,,,,,,798.0,10.0,,,,
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,18494,Ramiz Mamedov,53.0,1972-08-21,RUS,,MALE,DEFENDER,,,Mamedov,,797.0,9.0,,,,
1999,50064,POR,Porto,Porto,Portugal,Portugal,4390,Vítor Baía,56.0,1969-10-15,POR,POR,MALE,,,,,99,795.0,9.0,,,,
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,19253,Gustavo Poyet,58.0,1967-11-15,ESP,,MALE,,UNKNOWN,,,,792.0,12.0,1.0,,,
1999,50080,BAR,Barcelona,Barcelona,Spain,España,25950,Winston Bogarde,55.0,1970-10-22,NED,,MALE,,,,,,790.0,10.0,,,,
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,45995,Sávio,51.0,1974-01-09,BRA,,MALE,MIDFIELDER,UNKNOWN,,Sávio,17,772.0,11.0,4.0,,,
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,11533,Dwight Yorke,54.0,1971-11-03,TRI,,MALE,FORWARD,,,Yorke,,771.0,11.0,2.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,21851,Hervé Alicarte,51.0,1974-10-07,FRA,,MALE,DEFENDER,,,Alicarte,,766.0,9.0,,,,
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,21929,Valentin Belkevich,52.0,1973-01-27,BLR,,MALE,MIDFIELDER,,,Belkevich,8,758.0,9.0,,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,4664,Dariusz Wosz,56.0,1969-06-08,GER,,MALE,MIDFIELDER,,52939,Wosz,,750.0,10.0,2.0,,,
