season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_other,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,2212104,Peter Stöger,59.0,1966-04-11,AUT,AUT,MALE,,,,,,1.0,,,,,,,,4.0
1992,50080,BAR,Barcelona,Barcelona,Spain,España,15007,Miguel Nadal,59.0,1966-07-28,ESP,,MALE,DEFENDER,UNKNOWN,,Nadal,,1.0,,,,,,,,4.0
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,1474,Manfred Zsak,60.0,1964-12-22,AUT,,MALE,,,,Zsak,,1.0,,,,,,,,4.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,14155,Patrik Bengtsson,54.0,1971-03-09,SWE,,MALE,MIDFIELDER,UNKNOWN,,Bengtsson,,1.0,,,,,,,,4.0
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,2812,Valdas Ivanauskas,59.0,1966-07-31,LTU,,MALE,,,,Ivanauskas,,1.0,,,,,,,,3.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,15137,Mikhail Kolesnikov,59.0,1966-09-08,URS,,MALE,,,,Kolesnikov,,1.0,,,,,,,,3.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,12187,Ion Timofte,57.0,1967-12-16,ROU,,MALE,MIDFIELDER,UNKNOWN,,Timofte,,1.0,,,,,,,,3.0
1992,52697,VKR,Víkingur R.,Víkingur R.,Iceland,Islandia,3163,Gudmundur Steinsson,65.0,1960-07-18,ISL,,MALE,FORWARD,,,Steinsson,,1.0,,,,,,,,2.0
1992,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,2678,Feyyaz Uçar,62.0,1963-10-27,TUR,,MALE,,,,Uçar,,1.0,,,,,,,,2.0
1992,52697,VKR,Víkingur R.,Víkingur R.,Iceland,Islandia,19424,Atli Einarsson,59.0,1966-10-20,ISL,,MALE,,UNKNOWN,,Einarsson,,1.0,,,,,,,,2.0
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,19185,Kiril Metkov,60.0,1965-02-01,BUL,,MALE,,,,Metkov,,1.0,,,,,,,,2.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1880,Scott Nisbet,57.0,1968-01-30,SCO,,MALE,,,,Nisbet,,1.0,,,,,,,,2.0
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,14402,Ivailo Andonov,58.0,1967-08-14,BUL,,MALE,,,,Andonov,,1.0,,,,,,,,2.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,11116,Carl Shutt,64.0,1961-10-10,ENG,,MALE,,,,Shutt,,1.0,,,,,,,,2.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,4071,João Carlos Costa,52.0,1973-11-18,POR,,MALE,,,,Costa,,1.0,,,,,,,,1.0
1992,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,2682,Metin Tekin,61.0,1964-05-08,TUR,TUR,MALE,,,,Tekin,,1.0,,,,,,,,1.0
1992,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,19283,André Golke,61.0,1964-08-15,GER,,MALE,,,,Golke,,1.0,,,,,,,,1.0
1992,52748,MAR,Marseille,Marseille,France,Francia,4997,Didier Deschamps,57.0,1968-10-15,FRA,FRA,MALE,,,,Deschamps,,,,,,,,,,11.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,7147,Stefan Rehn,59.0,1966-09-22,SWE,,MALE,MIDFIELDER,,,Rehn,,,,,,,,,,10.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,681,Dany Verlinden,62.0,1963-08-15,BEL,,MALE,GOALKEEPER,,,Verlinden,,,,,,,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,653,Magnus Johansson,54.0,1971-10-11,SWE,,MALE,DEFENDER,,,Johansson,,,,,,,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,5989,Andy Goram,61.0,1964-04-13,SCO,,MALE,,,,Goram,,,,,,,,,,10.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,4390,Vítor Baía,56.0,1969-10-15,POR,POR,MALE,,,,,99,,,,,,,,,10.0
1992,50058,MIL,Milan,Milan,Italy,Italia,420,Alessandro Costacurta,59.0,1966-04-24,ITA,,MALE,DEFENDER,,,Costacurta,5,,,,,,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,3451,Dave McPherson,61.0,1964-01-28,SCO,,MALE,,,,McPherson,,,,,,,,,,10.0
1992,52748,MAR,Marseille,Marseille,France,Francia,18892,Jean-Jacques Eydelie,59.0,1966-02-03,FRA,,MALE,MIDFIELDER,,,Eydelie,,,,,,,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,1883842,Pontus Kåmark,56.0,1969-04-05,SWE,SWE,MALE,DEFENDER,,,Kåmark,,,,,,,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1864,John Brown,63.0,1962-01-26,SCO,,MALE,,,,Brown,,,,,,,,,,10.0
1992,52748,MAR,Marseille,Marseille,France,Francia,15873,Fabien Barthez,54.0,1971-06-28,FRA,FRA,MALE,GOALKEEPER,,,Barthez,,,,,,,,,,10.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,1201,Edward Linskens,57.0,1968-11-06,NED,,MALE,,,,Linskens,,,,,,,,,,10.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,11943,Rudy Cossey,64.0,1961-08-02,BEL,,MALE,,UNKNOWN,,Cossey,,,,,,,,,,10.0
1992,52748,MAR,Marseille,Marseille,France,Francia,8928,Jean-Philippe Durand,65.0,1960-11-11,FRA,,MALE,FORWARD,,,Durand,,,,,,,,,,9.0
1992,50058,MIL,Milan,Milan,Italy,Italia,8579,Gianluigi Lentini,56.0,1969-03-27,ITA,,MALE,FORWARD,,,Lentini,,,,,,,,,,9.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,7817,Stuart McCall,61.0,1964-06-10,SCO,,MALE,,,72533,,,,,,,,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,5413,Eric Di Meco,62.0,1963-09-07,FRA,,MALE,DEFENDER,,,Di Meco,,,,,,,,,,9.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2158,Ola Svensson,61.0,1964-04-06,SWE,,MALE,DEFENDER,UNKNOWN,,Svensson,,,,,,,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,17,Jan Heintze,62.0,1963-08-17,DEN,,MALE,MIDFIELDER,,,Heintze,,,,,,,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,12856,Jocelyn Angloma,60.0,1965-08-07,FRA,,MALE,DEFENDER,,,Angloma,,,,,,,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,114,Gerald Vanenburg,61.0,1964-03-05,NED,,MALE,MIDFIELDER,UNKNOWN,,Vanenburg,,,,,,,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,108,Hans van Breukelen,69.0,1956-10-04,NED,,MALE,GOALKEEPER,UNKNOWN,,Van Breukelen,,,,,,,,,,9.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,918,László Disztl,63.0,1962-06-04,HUN,,MALE,,,,Disztl,,,,,,,,,,8.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,7278,Alexei Gouchtchine,54.0,1971-10-21,RUS,,MALE,DEFENDER,,,Gouchtchine,,,,,,,,,,8.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,679,Franky Van der Elst,64.0,1961-04-30,BEL,,MALE,,UNKNOWN,,Van Der Elst,,,,,,,,,,8.0
